group,true_label,PMD:Background,PMD:Objective,PMD:Methods,PMD:Results,PMD:Conclusions,NIC:Background,NIC:Intervention,NIC:Study Design,NIC:Population,NIC:Outcome,NIC:Other,DRI:Background,DRI:Challenge,DRI:Approach,DRI:Outcome,DRI:Futurework,ART:Background,ART:Motivation,ART:Hypothesis,ART:Goal,ART:Object,ART:Experiment,ART:Model,ART:Method,ART:Observation,ART:Result,ART:Conclusion
Methods,NIC:Other,0.09,0.07,0.74,0.09,0.02,0.11,0.03,0,0.06,0.11,0.69,0.33,0.02,0.59,0.06,0,0.19,0.01,0,0.06,0.04,0.11,0,0.53,0.03,0.03,0.01
Background,DRI:Background,0.15,0,0.02,0.07,0.76,0.99,0,0,0,0,0.01,0.73,0.1,0.14,0.02,0,0.64,0.01,0,0,0,0,0.06,0.27,0,0,0.01
Problem,DRI:Challenge,0.8,0,0,0,0.2,1,0,0,0,0,0,0.2,0.63,0.13,0.03,0,0.63,0.07,0,0.03,0.07,0,0,0.2,0,0,0
Methods,DRI:Approach,0.05,0,0.18,0.02,0.75,0.91,0,0,0,0.01,0.08,0.04,0.04,0.84,0.07,0,0.06,0,0,0.03,0.02,0,0.45,0.38,0.02,0.01,0.02
Results,DRI:Outcome,0.06,0.01,0.02,0.04,0.88,0.96,0,0,0,0.03,0.01,0.02,0.04,0.21,0.73,0.01,0.06,0,0,0.03,0.05,0,0.02,0.19,0.07,0.12,0.45
Future Work,DRI:FutureWork,0,0,0,0,1,1,0,0,0,0,0,0.12,0,0.38,0.38,0.12,0,0,0,0,0,0,0.12,0.25,0,0,0.62
Background,ART:Background,0.09,0,0.01,0.12,0.78,0.53,0,0,0,0.36,0.11,0.61,0.02,0.28,0.09,0,0.7,0.02,0,0,0.01,0,0.02,0.12,0.01,0.07,0.04
Background,ART:Motivation,0.28,0,0,0,0.72,0.79,0,0,0,0.13,0.08,0.74,0.1,0.08,0.08,0,0.62,0.26,0,0,0,0,0,0.1,0,0,0.03
Problem,ART:Hypothesis,0.03,0,0.03,0.03,0.91,0.38,0,0,0,0.59,0.03,0.19,0.03,0.38,0.41,0,0.28,0,0,0.06,0.03,0.03,0,0.09,0,0.16,0.34
Problem,ART:Goal,0.21,0.03,0.04,0.03,0.69,0.58,0,0,0.01,0.21,0.19,0.18,0.01,0.67,0.13,0,0.09,0.04,0,0.3,0.28,0.01,0,0.16,0.01,0.03,0.06
Problem,ART:Object,0.22,0.07,0.09,0.05,0.57,0.44,0,0,0.01,0.24,0.31,0.25,0.01,0.66,0.08,0,0.11,0,0,0.16,0.42,0.01,0.01,0.11,0.03,0.08,0.08
Methods,ART:Experiment,0,0,0.69,0.03,0.28,0.04,0.07,0,0,0.05,0.84,0.01,0,0.98,0,0,0.02,0,0,0,0.01,0.82,0,0.12,0.02,0.01,0
Methods,ART:Model,0.02,0,0.14,0.14,0.69,0.4,0,0,0,0.26,0.34,0.1,0,0.87,0.04,0,0.16,0,0,0,0.01,0.02,0.39,0.17,0.09,0.13,0.02
Methods,ART:Method,0.02,0,0.12,0.08,0.79,0.44,0.01,0,0,0.23,0.32,0.3,0.01,0.62,0.07,0,0.24,0,0,0.02,0.03,0.1,0.06,0.41,0.04,0.06,0.03
Results,ART:Observation,0.01,0,0.02,0.23,0.74,0.23,0,0,0,0.57,0.2,0.04,0,0.67,0.29,0,0.04,0,0,0,0,0.01,0.01,0.03,0.65,0.24,0.01
Results,ART:Result,0.02,0,0.03,0.2,0.74,0.14,0,0,0,0.79,0.08,0.09,0,0.68,0.23,0,0.06,0,0,0,0.02,0,0.02,0.02,0.17,0.6,0.1
Conclusions,ART:Conclusion,0.01,0,0,0.1,0.89,0.21,0,0,0,0.78,0.01,0.1,0,0.54,0.35,0.01,0.11,0,0,0,0.01,0,0.01,0.02,0.01,0.33,0.51
