group,true_label,PMD:Background,PMD:Objective,PMD:Methods,PMD:Results,PMD:Conclusions,NIC:Background,NIC:Intervention,NIC:Study Design,NIC:Population,NIC:Outcome,NIC:Other,DRI:Background,DRI:Challenge,DRI:Approach,DRI:Outcome,DRI:Futurework,ART:Background,ART:Motivation,ART:Hypothesis,ART:Goal,ART:Object,ART:Experiment,ART:Model,ART:Method,ART:Observation,ART:Result,ART:Conclusion
Results,DRI:Outcome,0.18,0.02,0.06,0.3,0.45,0.43,0,0,0.01,0.55,0.01,0.06,0.02,0.19,0.7,0.03,0.03,0,0,0.02,0.06,0,0.03,0.3,0.04,0.18,0.35
Future Work,DRI:Futurework,0.5,0,0.12,0,0.38,0.62,0,0,0,0.38,0,0,0,0.75,0.12,0.12,0,0,0,0,0,0,0,0.75,0,0,0.25
Background,ART:Background,0.69,0.01,0.04,0.19,0.08,0.65,0,0,0.01,0.25,0.08,0.66,0.06,0.12,0.15,0.01,0.65,0.01,0.01,0,0.01,0.01,0.04,0.12,0.01,0.11,0.04
Background,ART:Motivation,0.9,0,0.05,0.03,0.03,0.92,0,0,0,0.05,0.03,0.62,0.28,0.03,0.05,0.03,0.64,0.21,0,0,0,0,0,0.1,0,0.03,0.03
Problem,ART:Hypothesis,0.38,0.03,0,0.28,0.31,0.38,0,0,0,0.59,0.03,0.06,0.06,0.25,0.53,0.09,0.19,0,0.06,0,0.06,0,0,0.12,0,0.25,0.31
Problem,ART:Goal,0.39,0.27,0.19,0.07,0.07,0.63,0,0,0.12,0.12,0.13,0.07,0.22,0.63,0.07,0,0.09,0.03,0,0.31,0.27,0.03,0.03,0.19,0,0.01,0.03
Problem,ART:Object,0.42,0.22,0.21,0.11,0.03,0.52,0.01,0.01,0.13,0.13,0.2,0.07,0.23,0.56,0.13,0.01,0.1,0.01,0,0.11,0.46,0,0.02,0.16,0.01,0.06,0.07
Methods,ART:Experiment,0,0.01,0.92,0.06,0.02,0.01,0.11,0,0.01,0.07,0.8,0.02,0,0.96,0.02,0,0,0,0,0,0,0.82,0.01,0.13,0.01,0.01,0
Methods,ART:Model,0.26,0.03,0.39,0.26,0.05,0.29,0.03,0,0.01,0.3,0.37,0.14,0.01,0.71,0.14,0,0.1,0,0,0,0,0.02,0.47,0.15,0.04,0.2,0.01
Methods,ART:Method,0.42,0.02,0.35,0.16,0.05,0.45,0.02,0,0.03,0.17,0.34,0.41,0.03,0.48,0.09,0,0.22,0.01,0,0.01,0.03,0.1,0.08,0.45,0.01,0.06,0.02
Results,ART:Observation,0.05,0.01,0.13,0.73,0.08,0.05,0,0,0,0.82,0.12,0.04,0,0.2,0.76,0,0.03,0,0,0,0,0.01,0.03,0.02,0.49,0.41,0
Results,ART:Result,0.09,0.02,0.06,0.74,0.09,0.06,0.01,0,0.01,0.88,0.05,0.04,0.01,0.17,0.78,0.01,0.05,0,0,0,0.01,0,0.03,0.02,0.08,0.73,0.07
Conclusions,ART:Conclusion,0.18,0.03,0.02,0.46,0.31,0.14,0,0,0,0.85,0.01,0.05,0.02,0.07,0.79,0.07,0.07,0,0.01,0,0.01,0,0.01,0.02,0,0.45,0.43
